[2026-04-30 19:38:56] ============================================================
[2026-04-30 19:38:56] Trial 642024 starting on cuda:0
[2026-04-30 19:38:56] Timestamp: 2026-04-30T19:38:56.739341
[2026-04-30 19:38:56] --- Config summary ---
  model_type        : cnn
  bottleneck_dim    : 240
  n_enc_layers      : 5
  n_dec_layers      : 3
  base_channels     : 45
  growth_factor     : 2.420701279177553
  use_batchnorm     : True
  mlp_input_size    : 64
  mlp_hidden_sizes  : [1024, 256]
  mlp_dropout       : 0.1
  use_hpf           : True
  hpf_sigma         : 1.0150899986921562
  lr                : 0.00022215300717804413
  batch_size        : 24
  decoder_upsample  : nearest
  max_epochs        : 300
  min_epochs        : 30
  patience          : 30
  seed              : 2024
  deterministic     : False
  trial_num         : 642024
[2026-04-30 19:38:56] Loading train/val/selection splits...
[2026-04-30 19:39:04] Splits loaded in 8.0s: n_train=722, n_val=120, n_selection=405
[2026-04-30 19:39:05] --- Architecture summary ---
[2026-04-30 19:42:16] epoch  112/300 | train=0.000614 | val=0.000656 | best=0.000589@111 | patience=1/30 | time=1.23s
[2026-04-30 19:42:17] epoch  113/300 | train=0.000637 | val=0.000682 | best=0.000589@111 | patience=2/30 | time=1.23s
[2026-04-30 19:42:19] epoch  114/300 | train=0.000612 | val=0.000567 | best=0.000567@114 | patience=0/30 | time=1.23s *
[2026-04-30 19:42:20] epoch  115/300 | train=0.000596 | val=0.000628 | best=0.000567@114 | patience=1/30 | time=1.23s
[2026-04-30 19:42:21] epoch  116/300 | train=0.000561 | val=0.000618 | best=0.000567@114 | patience=2/30 | time=1.23s
[2026-04-30 19:42:22] epoch  117/300 | train=0.000590 | val=0.000573 | best=0.000567@114 | patience=3/30 | time=1.23s
[2026-04-30 19:42:24] epoch  118/300 | train=0.000596 | val=0.000675 | best=0.000567@114 | patience=4/30 | time=1.23s
[2026-04-30 19:42:25] epoch  119/300 | train=0.000560 | val=0.000562 | best=0.000562@119 | patience=0/30 | time=1.23s *
[2026-04-30 19:42:27] epoch  120/300 | train=0.000556 | val=0.000554 | best=0.000554@120 | patience=0/30 | time=1.23s *
[2026-04-30 19:42:28] epoch  121/300 | train=0.000550 | val=0.000566 | best=0.000554@120 | patience=1/30 | time=1.23s
[2026-04-30 19:42:29] epoch  122/300 | train=0.000532 | val=0.000581 | best=0.000554@120 | patience=2/30 | time=1.23s
[2026-04-30 19:42:31] epoch  123/300 | train=0.000719 | val=0.000647 | best=0.000554@120 | patience=3/30 | time=1.23s
[2026-04-30 19:42:32] epoch  124/300 | train=0.000604 | val=0.000787 | best=0.000554@120 | patience=4/30 | time=1.23s
[2026-04-30 19:42:33] epoch  125/300 | train=0.000572 | val=0.000648 | best=0.000554@120 | patience=5/30 | time=1.25s
[2026-04-30 19:42:34] epoch  126/300 | train=0.000591 | val=0.000573 | best=0.000554@120 | patience=6/30 | time=1.23s
[2026-04-30 19:42:36] epoch  127/300 | train=0.000566 | val=0.000515 | best=0.000515@127 | patience=0/30 | time=1.23s *
[2026-04-30 19:42:37] epoch  128/300 | train=0.000536 | val=0.000521 | best=0.000515@127 | patience=1/30 | time=1.24s
[2026-04-30 19:42:39] epoch  129/300 | train=0.000486 | val=0.000492 | best=0.000492@129 | patience=0/30 | time=1.24s *
[2026-04-30 19:42:40] epoch  130/300 | train=0.000474 | val=0.000518 | best=0.000492@129 | patience=1/30 | time=1.23s
[2026-04-30 19:42:41] epoch  131/300 | train=0.000512 | val=0.001424 | best=0.000492@129 | patience=2/30 | time=1.23s
[2026-04-30 19:42:43] epoch  132/300 | train=0.000748 | val=0.000704 | best=0.000492@129 | patience=3/30 | time=1.23s
[2026-04-30 19:42:44] epoch  133/300 | train=0.000631 | val=0.000580 | best=0.000492@129 | patience=4/30 | time=1.23s
[2026-04-30 19:42:45] epoch  134/300 | train=0.000650 | val=0.000586 | best=0.000492@129 | patience=5/30 | time=1.25s
[2026-04-30 19:42:46] epoch  135/300 | train=0.000591 | val=0.000588 | best=0.000492@129 | patience=6/30 | time=1.23s
[2026-04-30 19:42:48] epoch  136/300 | train=0.000576 | val=0.000537 | best=0.000492@129 | patience=7/30 | time=1.23s
[2026-04-30 19:42:49] epoch  137/300 | train=0.000545 | val=0.000597 | best=0.000492@129 | patience=8/30 | time=1.23s
[2026-04-30 19:42:50] epoch  138/300 | train=0.000647 | val=0.000540 | best=0.000492@129 | patience=9/30 | time=1.23s
[2026-04-30 19:42:51] epoch  139/300 | train=0.000556 | val=0.000539 | best=0.000492@129 | patience=10/30 | time=1.25s
[2026-04-30 19:42:53] epoch  140/300 | train=0.000526 | val=0.000495 | best=0.000492@129 | patience=11/30 | time=1.23s
[2026-04-30 19:42:54] epoch  141/300 | train=0.000537 | val=0.000549 | best=0.000492@129 | patience=12/30 | time=1.23s
[2026-04-30 19:42:55] epoch  142/300 | train=0.000493 | val=0.000490 | best=0.000490@142 | patience=0/30 | time=1.23s *
[2026-04-30 19:42:57] epoch  143/300 | train=0.000491 | val=0.000550 | best=0.000490@142 | patience=1/30 | time=1.23s
[2026-04-30 19:42:58] epoch  144/300 | train=0.000493 | val=0.000478 | best=0.000478@144 | patience=0/30 | time=1.23s *
[2026-04-30 19:43:00] epoch  145/300 | train=0.000508 | val=0.000547 | best=0.000478@144 | patience=1/30 | time=1.23s
[2026-04-30 19:43:01] epoch  146/300 | train=0.000486 | val=0.000611 | best=0.000478@144 | patience=2/30 | time=1.23s
[2026-04-30 19:43:02] epoch  147/300 | train=0.000512 | val=0.000488 | best=0.000478@144 | patience=3/30 | time=1.23s
[2026-04-30 19:43:04] epoch  148/300 | train=0.000488 | val=0.000473 | best=0.000473@148 | patience=0/30 | time=1.23s *
[2026-04-30 19:43:05] epoch  149/300 | train=0.000466 | val=0.000558 | best=0.000473@148 | patience=1/30 | time=1.23s
[2026-04-30 19:43:06] epoch  150/300 | train=0.000483 | val=0.000824 | best=0.000473@148 | patience=2/30 | time=1.23s
[2026-04-30 19:43:07] epoch  151/300 | train=0.000728 | val=0.000622 | best=0.000473@148 | patience=3/30 | time=1.23s
[2026-04-30 19:43:09] epoch  152/300 | train=0.000546 | val=0.000519 | best=0.000473@148 | patience=4/30 | time=1.23s
[2026-04-30 19:43:10] epoch  153/300 | train=0.000506 | val=0.000514 | best=0.000473@148 | patience=5/30 | time=1.25s
[2026-04-30 19:43:11] epoch  154/300 | train=0.000496 | val=0.000553 | best=0.000473@148 | patience=6/30 | time=1.23s
[2026-04-30 19:43:13] epoch  155/300 | train=0.000469 | val=0.000471 | best=0.000471@155 | patience=0/30 | time=1.23s *
[2026-04-30 19:43:14] epoch  156/300 | train=0.000457 | val=0.000519 | best=0.000471@155 | patience=1/30 | time=1.23s
[2026-04-30 19:43:15] epoch  157/300 | train=0.000465 | val=0.000485 | best=0.000471@155 | patience=2/30 | time=1.23s
[2026-04-30 19:43:17] epoch  158/300 | train=0.000450 | val=0.000491 | best=0.000471@155 | patience=3/30 | time=1.23s
[2026-04-30 19:43:18] epoch  159/300 | train=0.000428 | val=0.000508 | best=0.000471@155 | patience=4/30 | time=1.23s
[2026-04-30 19:43:19] epoch  160/300 | train=0.000451 | val=0.000511 | best=0.000471@155 | patience=5/30 | time=1.23s
[2026-04-30 19:43:20] epoch  161/300 | train=0.000423 | val=0.000512 | best=0.000471@155 | patience=6/30 | time=1.23s
[2026-04-30 19:43:21] epoch  162/300 | train=0.000437 | val=0.000476 | best=0.000471@155 | patience=7/30 | time=1.25s
[2026-04-30 19:43:23] epoch  163/300 | train=0.000436 | val=0.000522 | best=0.000471@155 | patience=8/30 | time=1.23s
[2026-04-30 19:43:24] epoch  164/300 | train=0.000423 | val=0.000458 | best=0.000458@164 | patience=0/30 | time=1.23s *
[2026-04-30 19:43:26] epoch  165/300 | train=0.000432 | val=0.000495 | best=0.000458@164 | patience=1/30 | time=1.23s
[2026-04-30 19:43:27] epoch  166/300 | train=0.000482 | val=0.000467 | best=0.000458@164 | patience=2/30 | time=1.23s
[2026-04-30 19:43:29] epoch  167/300 | train=0.000422 | val=0.000449 | best=0.000449@167 | patience=0/30 | time=1.25s *
[2026-04-30 19:43:30] epoch  168/300 | train=0.000412 | val=0.000448 | best=0.000448@168 | patience=0/30 | time=1.23s *
[2026-04-30 19:43:31] epoch  169/300 | train=0.000408 | val=0.000505 | best=0.000448@168 | patience=1/30 | time=1.23s
[2026-04-30 19:43:33] epoch  170/300 | train=0.000420 | val=0.000468 | best=0.000448@168 | patience=2/30 | time=1.23s
[2026-04-30 19:43:34] epoch  171/300 | train=0.000408 | val=0.000538 | best=0.000448@168 | patience=3/30 | time=1.23s
[2026-04-30 19:43:35] epoch  172/300 | train=0.000579 | val=0.000576 | best=0.000448@168 | patience=4/30 | time=1.23s
[2026-04-30 19:43:36] epoch  173/300 | train=0.000555 | val=0.000601 | best=0.000448@168 | patience=5/30 | time=1.23s
[2026-04-30 19:43:38] epoch  174/300 | train=0.000488 | val=0.000478 | best=0.000448@168 | patience=6/30 | time=1.23s
[2026-04-30 19:43:39] epoch  175/300 | train=0.000456 | val=0.000478 | best=0.000448@168 | patience=7/30 | time=1.23s
[2026-04-30 19:43:40] epoch  176/300 | train=0.000435 | val=0.000474 | best=0.000448@168 | patience=8/30 | time=1.23s
[2026-04-30 19:43:41] epoch  177/300 | train=0.000446 | val=0.000478 | best=0.000448@168 | patience=9/30 | time=1.23s
[2026-04-30 19:43:43] epoch  178/300 | train=0.000435 | val=0.000541 | best=0.000448@168 | patience=10/30 | time=1.23s
[2026-04-30 19:43:44] epoch  179/300 | train=0.000427 | val=0.000479 | best=0.000448@168 | patience=11/30 | time=1.23s
[2026-04-30 19:43:45] epoch  180/300 | train=0.000398 | val=0.000523 | best=0.000448@168 | patience=12/30 | time=1.23s
[2026-04-30 19:43:46] epoch  181/300 | train=0.000408 | val=0.000451 | best=0.000448@168 | patience=13/30 | time=1.25s
[2026-04-30 19:43:48] epoch  182/300 | train=0.000386 | val=0.000501 | best=0.000448@168 | patience=14/30 | time=1.23s
[2026-04-30 19:43:49] epoch  183/300 | train=0.000428 | val=0.000461 | best=0.000448@168 | patience=15/30 | time=1.23s
[2026-04-30 19:43:50] epoch  184/300 | train=0.000433 | val=0.000461 | best=0.000448@168 | patience=16/30 | time=1.23s
[2026-04-30 19:43:51] epoch  185/300 | train=0.000400 | val=0.000447 | best=0.000448@168 | patience=17/30 | time=1.23s
[2026-04-30 19:43:52] epoch  186/300 | train=0.000432 | val=0.000485 | best=0.000448@168 | patience=18/30 | time=1.24s
